Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 1, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 2, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 3, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 4, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 5, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 6, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 7, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 8, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 9, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 10, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 11, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 12, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 13, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 14, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 15, Clients Trained: [8086], Accuracy: 0.5005
Fed Id: 0, Round - 0, Clients Trained: [8086], Accuracy: 0.5005
