Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.66
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.65
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.764
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.63
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.766
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.792
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.658
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.744
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.79
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.662
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.756
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8082, Round - 3, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.804
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.634
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.758
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8082, Round - 3, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.806
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.66
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.758
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.8
Fed Id: 8082, Round - 3, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.804
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.654
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.754
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.796
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.654
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.766
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.794
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.662
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.766
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.79
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.664
Fed Id: 8082, Round - 1, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.76
Fed Id: 8082, Round - 2, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.788
Fed Id: 8082, Round - 3, Clients Trained: [./public/cluster/8082/127.0.0.1_8084.wt], Accuracy: 0.808
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8085.wt], Accuracy: 0.638
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8085.wt], Accuracy: 0.67
Fed Id: 8082, Round - 0, Clients Trained: [./public/cluster/8082/127.0.0.1_8085.wt], Accuracy: 0.644
